Residuo,Classe,Tipo,Ecoponto,IlhaEcologica,LixeiraSubterranea,RetornaMachine,AssociacaodeCatadores,Miniecoponto,CentrodeRecondicionamentoTecnologicoCITINOVA,Reciclo,Tiratreco,ColetaDomiciliar,NaRua,EscolasMunicipaisPEVs,ColetadePilhas,Ecoenel,DescarteMedicamentos,LogisticaReversa
Chuveiros elétricos,Comum,Eletrônicos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Colchões,Reciclável,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Comprovantes de cartão de crédito,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Computadores,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Computadores - gabinetes,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Construção e Demolição,Especial,Entulho,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Copos descartáveis (café, água, cerveja, etc.)",Comum,Plástico,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0
Cosméticos,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotonete,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Decoração,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Diversos,Comum,Misto,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Drives,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Eletrodomésticos,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1
Eletrônicos,Reciclável,Eletrônicos,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Embalagem cartonada,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Embalagens de detergentes e de produtos de limpeza,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Embalagens de margarina,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Embalagens de massas e biscoitos,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
